Wavelength,ref
2.500119381,0.0485018
2.501325703,0.0485871
2.502533189,0.0485716
2.503741215,0.0484416
2.504951036,0.0483149
2.506161398,0.0481882
2.507373559,0.0480233
2.508586264,0.0478642
2.509800772,0.0479383
2.511015826,0.0480661
2.512232689,0.0480548
2.513450732,0.0481164
2.514669323,0.0481919
2.515889731,0.0481571
2.517110689,0.0482331
2.518333468,0.0484042
2.5195568,0.0485137
2.520781957,0.0485404
2.522007669,0.0485941
2.523235211,0.0488357
2.524463312,0.0491334
2.525693246,0.0492484
2.526924379,0.0492413
2.528156074,0.049244
2.52938961,0.049303
2.53062371,0.049398
2.531859656,0.0495282
2.533096168,0.0495201
2.534334531,0.0492969
2.535573462,0.0492239
2.536814248,0.0491439
2.538055606,0.0490452
2.539298823,0.0490564
2.540542614,0.0490062
2.54178827,0.0489605
2.543035148,0.0488245
2.544282603,0.0484571
2.54553193,0.048185
2.546781836,0.0481687
2.548033619,0.0482082
2.549285983,0.0480909
2.55054023,0.048084
2.55179506,0.0481513
2.553051778,0.0480873
2.554309734,0.0479051
2.555568277,0.047932
2.556828714,0.0479938
2.558089741,0.0480123
2.559352668,0.0483024
2.560616187,0.0487788
2.56188161,0.0490639
2.563147627,0.0491419
2.564415554,0.0490637
2.565684736,0.0488455
2.566954516,0.0487079
2.568225554,0.0489668
2.569498511,0.0493287
2.570772731,0.0493154
2.572047553,0.0493776
2.573324303,0.0496285
2.574601658,0.0494404
2.575880945,0.0494093
2.57716084,0.0495315
2.578442672,0.0493073
2.579725115,0.0491611
2.5810095,0.0492374
2.582295165,0.0492849
2.583581443,0.0495824
2.584869672,0.0494683
2.586158518,0.0492678
2.587449318,0.0493389
2.588740738,0.0491498
2.590034119,0.0488683
2.59132812,0.0486262
2.592624088,0.0488869
2.593921353,0.049882
2.595219243,0.0503955
2.596519106,0.0495463
2.597819598,0.0488803
2.599122069,0.0487029
2.60042517,0.0488743
2.601730255,0.0491243
2.603035973,0.0493084
