wavelength,trans
2.500119381,0.8585844
2.501325703,0.8590753
2.502533189,0.8592174
2.503741215,0.8592806
2.504951036,0.8593777
2.506161398,0.8594858
2.507373559,0.8597706
2.508586264,0.8598648
2.509800772,0.8596788
2.511015826,0.8594195
2.512232689,0.8594819
2.513450732,0.8599342
2.514669323,0.8603669
2.515889731,0.861022
2.517110689,0.8620441
2.518333468,0.8627786
2.5195568,0.863598
2.520781957,0.8645493
2.522007669,0.8648545
2.523235211,0.8651914
2.524463312,0.8658954
2.525693246,0.8662217
2.526924379,0.8664576
2.528156074,0.8666637
2.52938961,0.8664812
2.53062371,0.8663978
2.531859656,0.8666441
2.533096168,0.8661999
2.534334531,0.8655757
2.535573462,0.8658517
2.536814248,0.8656448
2.538055606,0.8648128
2.539298823,0.8639426
2.540542614,0.8630019
2.54178827,0.862423
2.543035148,0.861616
2.544282603,0.8604044
2.54553193,0.8595644
2.546781836,0.8596505
2.548033619,0.8598829
2.549285983,0.859418
2.55054023,0.8592233
2.55179506,0.8590842
2.553051778,0.8585765
2.554309734,0.8573193
2.555568277,0.8569962
2.556828714,0.8575972
2.558089741,0.8588117
2.559352668,0.8603108
2.560616187,0.8620615
2.56188161,0.8629145
2.563147627,0.8627741
2.564415554,0.8617882
2.565684736,0.8601929
2.566954516,0.8597897
2.568225554,0.8610072
2.569498511,0.8620855
2.570772731,0.8611922
2.572047553,0.861595
2.573324303,0.8630578
2.574601658,0.862295
2.575880945,0.8627285
2.57716084,0.8630772
2.578442672,0.8622459
2.579725115,0.8626991
2.5810095,0.8640419
2.582295165,0.8652551
2.583581443,0.8673257
2.584869672,0.8671191
2.586158518,0.8684338
2.587449318,0.8708144
2.588740738,0.8716776
2.590034119,0.8719485
2.59132812,0.8727018
2.592624088,0.8751502
2.593921353,0.8798062
2.595219243,0.8806195
2.596519106,0.8765852
2.597819598,0.8745192
2.599122069,0.8741253
2.60042517,0.8750323
2.601730255,0.8759361
2.603035973,0.8765051
2.604343681,0.8778049
2.605652024,0.8777995
2.606962362,0.8764311
2.608274019,0.8757814
2.609586315,0.8753328
2.610900615,0.8743568
2.612215556,0.8743243
2.613532505,0.8745015
2.6148501,0.874971
2.616169708,0.877208
2.617489963,0.8766528
2.618812238,0.8757613
2.620135849,0.8767502
2.621460111,0.8750794
2.622785713,0.8740121
2.624113345,0.8747852
2.625442321,0.8779308
2.626771955,0.8807219
2.628103626,0.8812415
2.629435957,0.8843591
2.630770332,0.8860822
2.632105368,0.8851047
2.633442454,0.8859461
2.634780205,0.8860237
2.636120011,0.8857922
2.63746118,0.8861214
2.638803018,0.8869333
2.640146919,0.8880022
2.641491492,0.8889282
2.642838133,0.8891896
2.644185449,0.8899911
2.64553484,0.891013
2.646884908,0.8905115
2.648237055,0.8900957
2.649590585,0.8902268
2.650944797,0.8912806
2.652301097,0.8924541
2.653658081,0.8918915
2.655017159,0.8918216
2.656376925,0.8914767
2.657738791,0.89156
2.659101346,0.8926955
2.660466007,0.8931899
2.661831361,0.8932907
2.663198827,0.8946877
2.664567698,0.898087
2.665937266,0.9001274
2.667308955,0.8987714
2.668681343,0.8981179
2.670055858,0.9009471
2.671431075,0.8986017
2.672808424,0.8966078
2.674186479,0.8972672
2.675566672,0.8997387
2.67694829,0.9007722
2.678330618,0.9002574
2.679715093,0.8990444
2.681100281,0.8973358
2.682487621,0.8976257
2.683875678,0.8981312
2.685265892,0.8980166
2.686656826,0.8972471
2.688049925,0.8964466
2.689444468,0.896221
2.690839736,0.8960622
2.692236452,0.8972627
2.693635344,0.8981715
2.69503569,0.8964971
2.696436767,0.8942135
2.697840028,0.8927892
2.699244023,0.8923343
2.700650209,0.8924014
2.70205713,0.8914727
2.703466249,0.8901369
2.704876107,0.8897132
2.706288169,0.889663
2.707701706,0.8909012
2.709115986,0.892763
2.710532479,0.8934703
2.711949718,0.8912006
2.713369177,0.889314
2.714789385,0.8889216
2.716211819,0.8890726
2.717635005,0.8895452
2.719060423,0.8917545
2.720486597,0.8939938
2.721915009,0.8912711
2.723344921,0.8911668
2.724775594,0.8914561
2.726208515,0.8892215
2.727642199,0.8874026
2.729078137,0.886579
2.730514841,0.8860844
2.731953806,0.8853882
2.733393541,0.8852914
2.734835542,0.8850227
2.736279065,0.8827976
2.737723364,0.8825018
2.739169938,0.8834174
2.740617291,0.8815451
2.742066926,0.8770747
2.743517343,0.8736483
2.744970048,0.8732427
2.746423539,0.8745319
2.747879324,0.8765946
2.749336654,0.8793036
2.750794773,0.882215
2.75225444,0.8844238
2.753716416,0.8872247
2.755179945,0.8900972
2.756644271,0.8875178
2.758110915,0.8847321
2.759578359,0.883627
2.761048127,0.8836583
2.762518699,0.8829922
2.763991602,0.8794065
2.765465312,0.8750494
2.766941359,0.8708033
2.768418984,0.8651219
2.76989742,0.8597113
2.771378204,0.8539544
2.772859803,0.8482092
2.774343757,0.8454158
2.775828529,0.8480891
2.777315663,0.8563377
2.778803619,0.8675371
2.780293944,0.8790504
2.781785868,0.88897
2.783278619,0.8961967
2.784773748,0.901965
2.786269709,0.907451
2.787768054,0.9106098
2.789267234,0.9116216
2.790768807,0.9127036
2.792271217,0.9141051
2.793776026,0.9152812
2.795281676,0.9162307
2.796789733,0.9169653
2.798299417,0.9175617
2.799809949,0.9184158
2.801322897,0.9202702
2.802836695,0.9224273
2.804352917,0.9227566
2.805869992,0.9222579
2.807389498,0.9226131
2.808909862,0.9234782
2.810432663,0.9238808
2.811957117,0.9245528
2.813482433,0.9258344
2.815010197,0.9267604
2.816538829,0.9270776
2.818069915,0.9279943
2.819601872,0.9290659
2.821136292,0.9293353
2.822671585,0.9290823
2.824209348,0.9289293
2.825748788,0.9290738
2.827289108,0.9294402
2.828831107,0.9297017
2.830375591,0.9300727
2.831921762,0.9305775
2.83346882,0.9308759
2.835018374,0.9309035
2.836568818,0.9310543
2.838121765,0.9312264
2.839675607,0.9308588
2.841231958,0.9303004
2.842789208,0.9301208
2.844348975,0.9301682
2.845910455,0.9300236
2.847472839,0.9298073
2.849037752,0.9292819
2.850603573,0.9283374
2.852171929,0.9280775
2.853741198,0.9286317
2.855313009,0.9286163
2.856885737,0.9280187
2.858461016,0.9277345
2.860037215,0.9274892
2.861615972,0.9272979
2.863196473,0.9271955
2.864777899,0.927029
2.866361896,0.9268732
2.867946823,0.926712
2.869534326,0.9267534
2.871122764,0.9267145
2.872713787,0.9264687
2.874305747,0.9261005
2.875900301,0.9257909
2.877496624,0.9256611
2.879093892,0.9254936
2.880693763,0.9253871
2.882294583,0.925153
2.883898015,0.9246325
2.885502399,0.9241069
2.887109403,0.9236467
2.888717363,0.922914
2.890327951,0.9222079
2.891940336,0.9216217
2.893553683,0.9210423
2.895168832,0.920248
2.896786624,0.9194201
2.898406224,0.9189498
2.900026796,0.9188953
2.901650023,0.9186047
2.903274226,0.9179305
2.904901091,0.9172699
2.906528936,0.9166078
2.908159452,0.9161968
2.909790952,0.9159097
2.911425131,0.9155048
2.913061147,0.9153236
2.914698152,0.9152814
2.91633785,0.9153527
2.917978541,0.9155555
2.919621932,0.9157952
2.921266322,0.9161103
2.92291342,0.916367
2.92456152,0.9164341
2.926212337,0.9165319
2.927865018,0.9165495
2.929518709,0.9166482
2.931175129,0.91684
2.932832562,0.9168127
2.934492732,0.9167122
2.93615392,0.9167289
2.937817854,0.9170427
2.93948281,0.9174255
2.941150519,0.9172989
2.942819256,0.9167542
2.944490755,0.9162617
2.946164153,0.915943
2.947838586,0.9156934
2.949515793,0.9150496
2.951194038,0.9143729
2.952875067,0.9136649
2.954557138,0.91284
2.956242002,0.9120798
2.957927912,0.9113878
2.959616623,0.9106918
2.961307263,0.9098816
2.962998958,0.9089906
2.964692587,0.9083654
2.966389032,0.9084236
2.968087421,0.9087095
2.969786873,0.9090916
2.971489156,0.9095757
2.973192507,0.9101769
2.974898697,0.9109421
2.976605961,0.9114503
2.978316072,0.9117661
2.980027261,0.9122725
2.981741307,0.9129597
2.983457326,0.9137699
2.98517443,0.9143452
2.986894403,0.9146752
2.988615467,0.9151302
2.99033941,0.9155975
2.992064447,0.9160117
2.993792372,0.9164964
2.995521396,0.9171136
2.997253317,0.9176346
2.998987242,0.9178847
3.000722274,0.9179781
3.002460216,0.9182823
3.00419927,0.9187343
3.005941243,0.9190443
3.007684333,0.919276
3.009430351,0.9194768
3.011177491,0.9194138
3.012927568,0.9193568
3.014678772,0.9194415
3.016432923,0.9194753
3.018189117,0.919574
3.019946444,0.9197755
3.021706732,0.9200584
3.02346816,0.9204954
3.025232557,0.9207601
3.026998099,0.920603
3.02876662,0.9203049
3.03053629,0.9203649
3.032308949,0.9206967
3.034083682,0.9209738
3.035859573,0.9210098
3.037638467,0.9210986
3.039418523,0.9210784
3.041201591,0.9210603
3.042985826,0.9213414
3.044773084,0.9214765
3.046561514,0.9210986
3.048352975,0.9210191
3.050146544,0.9213129
3.051941294,0.921328
3.053738157,0.9211817
3.055538071,0.9211368
3.057340108,0.9211515
3.059143336,0.9207972
3.060949629,0.9205798
3.062757118,0.920537
3.064567683,0.9203882
3.066379449,0.9199931
3.0681943,0.9197301
3.070010358,0.9198454
3.071829511,0.9197088
3.073650821,0.9194262
3.075473346,0.9191331
3.077298981,0.9188062
3.079125836,0.9186172
3.080955811,0.9184587
3.082787012,0.9181614
3.084621343,0.9179885
3.086456905,0.9177868
3.088295607,0.9174842
3.090135546,0.9172175
3.091978634,0.9169904
3.093823923,0.9166058
3.095670457,0.915991
3.097520156,0.9151273
3.099371107,0.9142861
3.101225232,0.9136443
3.103080614,0.9129273
3.104939182,0.9121029
3.106799012,0.9111985
3.108662038,0.9103964
3.1105273,0.9095307
3.112393832,0.9084272
3.114263576,0.9072046
3.116134597,0.9060567
3.11800884,0.9050936
3.119884365,0.9041148
3.121763122,0.9031255
3.123643167,0.9022764
3.125526456,0.901428
3.127412017,0.9005123
3.129298874,0.8995914
3.13118801,0.8987198
3.13308041,0.8981017
3.134975099,0.8975823
3.136871097,0.8971849
3.138770374,0.8969043
3.140670967,0.8968309
3.14257485,0.8966744
3.144480054,0.8963123
3.146388559,0.895808
3.148298392,0.8952953
3.150211537,0.8949608
3.152127008,0.8947417
3.154043815,0.8944199
3.155963951,0.8939619
3.157885429,0.8931924
3.159810247,0.8924437
3.161736413,0.891784
3.16366593,0.8909286
3.1655968,0.8901673
3.167531033,0.8893639
3.169467631,0.888592
3.171405592,0.8877414
3.173345925,0.886631
3.175289642,0.8854958
3.177235741,0.8844978
3.179183217,0.8835529
3.181134093,0.8825783
3.183086352,0.8816702
3.185042023,0.8808998
3.186999083,0.8800064
3.188959567,0.8789
3.190921446,0.877878
3.192886759,0.8771124
3.194854495,0.8761861
3.196823636,0.8749089
3.198796229,0.873637
3.200770233,0.8723601
3.202747701,0.8709943
3.204726587,0.8697514
3.206708948,0.8680862
3.208692734,0.8658588
3.210680006,0.863218
3.212668709,0.8604609
3.214660911,0.8574352
3.216655585,0.8542773
3.2186517,0.8505256
3.220651332,0.8460428
3.222652411,0.8413103
3.224657017,0.8358427
3.226663079,0.8290787
3.22867268,0.8213947
3.230683742,0.8131898
3.232698356,0.8047925
3.234715484,0.7966661
3.236734084,0.7891998
3.238756253,0.78275
3.2407799,0.7774774
3.24280713,0.7730279
3.244835844,0.7692426
3.246868152,0.7658508
3.248901952,0.7623328
3.250939359,0.7588568
3.252979322,0.7556908
3.255020788,0.7525375
3.257064818,0.749399
3.259112478,0.7460598
3.261162715,0.7422773
3.263214469,0.7378179
3.265269871,0.7331743
3.267326797,0.7283618
3.269387385,0.7232629
3.271449504,0.7180473
3.273515297,0.7124171
3.275582628,0.7063275
3.277653646,0.6999648
3.279727284,0.693118
3.281802471,0.6859845
3.283881364,0.6785115
3.285961813,0.6704346
3.28804598,0.6619225
3.290131711,0.6532455
3.292221173,0.644509
3.294312205,0.6361357
3.296406982,0.6281237
3.298504425,0.6202639
3.300603449,0.6124955
3.302706237,0.6050454
3.304810615,0.5978967
3.306918769,0.5906145
3.309028519,0.5831892
3.311142059,0.575845
3.313257204,0.56827
3.315376151,0.5606223
3.31749671,0.5526571
3.319621085,0.543969
3.321748183,0.5342911
3.323876904,0.5238562
3.326009461,0.5130598
3.328143648,0.5017836
3.330281685,0.489502
3.332421361,0.4763297
3.334564899,0.4622788
3.336710084,0.4469819
3.338859145,0.4301645
3.341010977,0.4119527
3.343164466,0.3916753
3.345320733,0.369192
3.347480903,0.3442207
3.349643866,0.3166672
3.351808502,0.2863969
3.353977062,0.2533042
3.356147304,0.2175495
3.358321484,0.1798287
3.360497354,0.1417587
3.362677175,0.1053623
3.364858694,0.0729289
3.36704418,0.0470615
3.369232506,0.0285855
3.371422541,0.0169243
3.373616564,0.0102802
3.375812305,0.0069618
3.378012047,0.0055309
3.380213515,0.0050396
3.382418998,0.0046805
3.384626215,0.004403
3.386837463,0.0040995
